"Omschrijving","Vakcode","Startweek (ISO)","Startdag","Startdatum","Starttijd","Einddag","Einddatum","Eindtijd","Duur","Type","Docent(en)","Locatie(s)","Faculteit","Grootte","Opmerking 1","Opmerking 2","Concept","Deze activiteit vindt op locatie plaats","Deze activiteit vindt online plaats"
"Statistical Methods (PR)","X_401020","45","wo","2022-11-09","13:30","wo","2022-11-09","15:15","1:45","Practicum","","NU-5B21 (46Comp/46DT)","Faculteit der Betawetenschappen","56","Computer class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","45","wo","2022-11-09","15:30","wo","2022-11-09","19:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-5A91 (34Comp/34DT), NU-5B21 (46Comp/46DT), NU-6B15 (38Comp/38DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","45","do","2022-11-10","09:00","do","2022-11-10","10:45","1:45","Practicum","","NU-6B37 (48Comp)","Faculteit der Betawetenschappen","30","Group 5","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","45","do","2022-11-10","11:00","do","2022-11-10","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","45","do","2022-11-10","13:30","do","2022-11-10","15:15","1:45","Practicum","","HG-13A37 (24Comp), NU-5B51 Collaborative (20)","Faculteit der Betawetenschappen","30","Group 6","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","45","do","2022-11-10","15:30","do","2022-11-10","17:15","1:45","Hoorcollege","Dobler, D.","Theater1 NU-00C07(314/83T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Statistical Methods (WC)","X_401020","45","vr","2022-11-11","11:00","vr","2022-11-11","12:45","1:45","Werkcollege","","WN-C629(40/20T)","Faculteit der Betawetenschappen","56","Exercise class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","45","vr","2022-11-11","15:30","vr","2022-11-11","17:15","1:45","Practicum","","NU-6B15 (38Comp/38DT), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 9","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","ma","2022-11-14","13:30","ma","2022-11-14","17:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-6B20 (26Comp/24DT), NU-6B37 (48Comp), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","di","2022-11-15","09:00","di","2022-11-15","10:45","1:45","Practicum","","HG-15A16(39/19T), NU-3A65 (40/20T), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 1","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","46","di","2022-11-15","11:00","di","2022-11-15","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","di","2022-11-15","13:30","di","2022-11-15","15:15","1:45","Practicum","","HG-00B08 (42Comp)","Faculteit der Betawetenschappen","30","Group 2","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","46","di","2022-11-15","15:30","di","2022-11-15","17:15","1:45","Hoorcollege","Dobler, D.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","di","2022-11-15","17:30","di","2022-11-15","19:15","1:45","Practicum","","NU-3A57 (54/27T), NU-3A65 (40/20T)","Faculteit der Betawetenschappen","30","Group 3","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","wo","2022-11-16","09:00","wo","2022-11-16","10:45","1:45","Practicum","","OZW-6B03(40/20T), OZW-6B04(43/21T)","Faculteit der Betawetenschappen","30","Group 4","","Nee","Ja","Nee"
"Statistical Methods (PR)","X_401020","46","wo","2022-11-16","13:30","wo","2022-11-16","15:15","1:45","Practicum","","NU-5B21 (46Comp/46DT)","Faculteit der Betawetenschappen","56","Computer class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","wo","2022-11-16","15:30","wo","2022-11-16","19:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-5A91 (34Comp/34DT), NU-5B21 (46Comp/46DT), NU-6B15 (38Comp/38DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","do","2022-11-17","09:00","do","2022-11-17","10:45","1:45","Practicum","","NU-6B37 (48Comp)","Faculteit der Betawetenschappen","30","Group 5","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","46","do","2022-11-17","11:00","do","2022-11-17","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","do","2022-11-17","13:30","do","2022-11-17","15:15","1:45","Practicum","","HG-13A37 (24Comp), NU-5B51 Collaborative (20)","Faculteit der Betawetenschappen","30","Group 6","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","46","do","2022-11-17","15:30","do","2022-11-17","17:15","1:45","Hoorcollege","Dobler, D.","Theater1 NU-00C07(314/83T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Statistical Methods (WC)","X_401020","46","vr","2022-11-18","11:00","vr","2022-11-18","12:45","1:45","Werkcollege","","WN-C629(40/20T)","Faculteit der Betawetenschappen","56","Exercise class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","vr","2022-11-18","15:30","vr","2022-11-18","17:15","1:45","Practicum","","NU-6B15 (38Comp/38DT), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 9","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","47","ma","2022-11-21","13:30","ma","2022-11-21","17:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-6B20 (26Comp/24DT), NU-6B37 (48Comp), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Statistical Methods (DX)","X_401020","47","ma","2022-11-21","18:45","ma","2022-11-21","20:30","1:45","Deeltentamen schriftelijk","Dobler, D.","(T) TenT blok 1 Blauw (102), (T) TenT blok 2 Rood (85), (T) TenT blok 3 Groen (96), (T) TenT blok 4 Lime (54), (T) TenT blok 5 Wit (45)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
